Book_ID	Reservation_Date	Checkout_Date	Return_Date	Member_ID
42	---	17/06/2022	---	2854
42	---	29/12/2021	16/05/2022	5264
43	---	13/06/2022	---	8626
43	---	08/04/2022	30/05/2022	9937
43	---	24/02/2022	04/03/2022	1037
44	17/09/2022	---	---	1492
44	---	26/05/2022	---	5583
44	---	26/02/2022	24/03/2022	1523
44	---	18/12/2021	25/01/2022	6133
45	23/10/2022	---	---	9280
45	---	14/08/2022	---	5732
45	---	26/06/2022	01/07/2022	7350
45	---	07/06/2022	20/06/2022	7627
45	---	18/04/2022	24/05/2022	2277
45	---	07/02/2022	09/03/2022	4106
45	---	14/01/2022	22/01/2022	1618
46	02/08/2022	---	---	9221
46	---	13/06/2022	---	4420
46	---	13/05/2022	08/06/2022	8677
46	---	15/03/2022	01/04/2022	6783
46	---	15/02/2022	04/03/2022	5218
46	---	14/12/2021	21/01/2022	2951
47	11/09/2022	---	---	1483
47	---	18/07/2022	---	9100
47	---	18/06/2022	23/06/2022	3535
47	---	13/04/2022	23/05/2022	8150
47	---	18/03/2022	23/03/2022	5187
47	---	13/02/2022	23/02/2022	5304
47	---	16/01/2022	03/02/2022	6662
48	01/11/2022	---	---	1886
48	---	05/10/2022	---	8092
48	---	27/08/2022	28/09/2022	6364
48	---	18/06/2022	10/07/2022	6656
48	---	19/05/2022	10/06/2022	4253
49	---	02/03/2022	18/04/2022	2239
49	27/10/2022	---	---	2720
49	---	26/09/2022	---	1564
49	---	16/06/2022	30/08/2022	8071
50	---	10/07/2022	01/11/2022	7506
50	---	22/05/2022	21/06/2022	7974
50	---	21/03/2022	06/04/2022	6186
